timestamp_iso,timestamp_ms,overall_cpu_pct,load1,load5,load15,burning,workers,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,freq0_khz,freq1_khz,freq2_khz,freq3_khz,temp0_c,voltage_v,current_a,power_w,voltage_raw,current_raw,power_raw
2025-09-29T13:37:59.862110,1759153079862,89,4.634765625,3.11474609375,2.16943359375,1,6,84,90,93,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
2025-09-29T13:38:00.364399,1759153080364,86,4.634765625,3.11474609375,2.16943359375,1,6,83,89,87,85,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
2025-09-29T13:38:00.864131,1759153080864,90,4.634765625,3.11474609375,2.16943359375,1,6,91,91,86,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
2025-09-29T13:38:01.365605,1759153081365,88,4.634765625,3.11474609375,2.16943359375,1,6,89,88,83,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
2025-09-29T13:38:01.866280,1759153081866,91,4.634765625,3.11474609375,2.16943359375,1,6,94,90,91,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
2025-09-29T13:38:02.367080,1759153082367,92,4.634765625,3.11474609375,2.16943359375,1,6,91,90,93,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
2025-09-29T13:38:02.867630,1759153082867,92,4.634765625,3.11474609375,2.16943359375,1,6,93,89,94,92,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63664
2025-09-29T13:38:03.368845,1759153083368,89,4.634765625,3.11474609375,2.16943359375,1,6,87,89,92,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:03.870189,1759153083870,89,4.82421875,3.1796875,2.19580078125,1,6,91,83,90,92,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:04.371362,1759153084371,92,4.82421875,3.1796875,2.19580078125,1,6,91,89,93,96,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:04.871882,1759153084871,88,4.82421875,3.1796875,2.19580078125,1,6,87,91,86,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:05.372590,1759153085372,92,4.82421875,3.1796875,2.19580078125,1,6,94,93,90,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:05.873545,1759153085873,91,4.82421875,3.1796875,2.19580078125,1,6,92,92,93,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:06.374346,1759153086374,94,4.82421875,3.1796875,2.19580078125,1,6,93,96,93,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:06.882692,1759153086882,90,4.82421875,3.1796875,2.19580078125,1,6,86,92,94,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63663
2025-09-29T13:38:07.376982,1759153087376,89,4.82421875,3.1796875,2.19580078125,1,6,91,88,91,86,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:07.877973,1759153087877,89,4.82421875,3.1796875,2.19580078125,1,6,91,88,88,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:08.378790,1759153088378,90,4.82421875,3.1796875,2.19580078125,1,6,87,91,91,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:08.879696,1759153088879,90,4.99853515625,3.2431640625,2.2216796875,1,6,85,90,95,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:09.380292,1759153089380,88,4.99853515625,3.2431640625,2.2216796875,1,6,89,88,87,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:09.881372,1759153089881,88,4.99853515625,3.2431640625,2.2216796875,1,6,86,87,89,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:10.383094,1759153090383,91,4.99853515625,3.2431640625,2.2216796875,1,6,92,90,91,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:10.883729,1759153090883,93,4.99853515625,3.2431640625,2.2216796875,1,6,88,93,94,95,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63662
2025-09-29T13:38:11.384760,1759153091384,90,4.99853515625,3.2431640625,2.2216796875,1,6,89,91,90,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:11.885764,1759153091885,88,4.99853515625,3.2431640625,2.2216796875,1,6,90,86,85,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:12.386169,1759153092386,86,4.99853515625,3.2431640625,2.2216796875,1,6,90,85,85,82,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:12.886681,1759153092886,90,4.99853515625,3.2431640625,2.2216796875,1,6,92,92,89,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:13.388472,1759153093388,95,4.99853515625,3.2431640625,2.2216796875,1,6,97,90,95,95,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:13.888674,1759153093888,90,5.4794921875,3.3720703125,2.26904296875,1,6,89,89,94,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:14.389691,1759153094389,89,5.4794921875,3.3720703125,2.26904296875,1,6,88,93,88,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:14.890661,1759153094890,87,5.4794921875,3.3720703125,2.26904296875,1,6,87,85,89,88,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63661
2025-09-29T13:38:15.392958,1759153095392,91,5.4794921875,3.3720703125,2.26904296875,1,6,93,87,95,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:15.893631,1759153095893,87,5.4794921875,3.3720703125,2.26904296875,1,6,93,82,92,82,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:16.394565,1759153096394,91,5.4794921875,3.3720703125,2.26904296875,1,6,93,90,88,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:16.896410,1759153096896,93,5.4794921875,3.3720703125,2.26904296875,1,6,93,93,92,94,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:17.397093,1759153097397,92,5.4794921875,3.3720703125,2.26904296875,1,6,86,95,93,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:17.898372,1759153097898,87,5.4794921875,3.3720703125,2.26904296875,1,6,80,88,91,89,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:18.398594,1759153098398,90,5.4794921875,3.3720703125,2.26904296875,1,6,90,91,88,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:18.900040,1759153098900,88,5.36083984375,3.3828125,2.27880859375,1,6,91,86,86,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63660
2025-09-29T13:38:19.400904,1759153099400,86,5.36083984375,3.3828125,2.27880859375,1,6,89,87,81,87,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:19.901572,1759153099901,87,5.36083984375,3.3828125,2.27880859375,1,6,91,80,89,87,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:20.402706,1759153100402,92,5.36083984375,3.3828125,2.27880859375,1,6,88,95,90,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:20.903511,1759153100903,89,5.36083984375,3.3828125,2.27880859375,1,6,88,88,91,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:21.404744,1759153101404,88,5.36083984375,3.3828125,2.27880859375,1,6,85,89,85,93,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:21.905166,1759153101905,86,5.36083984375,3.3828125,2.27880859375,1,6,82,91,87,82,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:22.406958,1759153102406,87,5.36083984375,3.3828125,2.27880859375,1,6,86,86,85,92,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:22.907794,1759153102907,90,5.36083984375,3.3828125,2.27880859375,1,6,93,91,83,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63659
2025-09-29T13:38:23.408414,1759153103408,94,5.36083984375,3.3828125,2.27880859375,1,6,96,93,91,95,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:23.908864,1759153103908,91,5.8125,3.50927734375,2.32568359375,1,6,91,90,94,92,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:24.410160,1759153104410,88,5.8125,3.50927734375,2.32568359375,1,6,88,84,90,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:24.911241,1759153104911,87,5.8125,3.50927734375,2.32568359375,1,6,89,89,87,83,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:25.413929,1759153105413,91,5.8125,3.50927734375,2.32568359375,1,6,86,91,96,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:25.912889,1759153105912,90,5.8125,3.50927734375,2.32568359375,1,6,93,92,87,90,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:26.414381,1759153106414,89,5.8125,3.50927734375,2.32568359375,1,6,91,91,89,87,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:26.915178,1759153106915,87,5.8125,3.50927734375,2.32568359375,1,6,89,93,80,87,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63658
2025-09-29T13:38:27.416500,1759153107416,93,5.8125,3.50927734375,2.32568359375,1,6,93,96,92,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63657
2025-09-29T13:38:27.917100,1759153107917,91,5.8125,3.50927734375,2.32568359375,1,6,93,94,88,91,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63657
2025-09-29T13:38:28.418577,1759153108418,90,5.8125,3.50927734375,2.32568359375,1,6,84,84,95,96,1600000,1600000,1600000,1600000,52.0,0.216,2.061,6.366,216,20607,63657
